2018-08-21 05:24:27 EXEC SPC_COM_PERMISSION '1','g001';
2018-08-21 05:24:27 EXEC SPC_COM_MENU '1';
2018-08-21 05:24:33 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:24:33 EXEC SPC_COM_MENU '1';
2018-08-21 05:24:35 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:24:35 EXEC SPC_COM_MENU '1';
2018-08-21 05:24:35 EXEC SPC_COMMON_CATALORUE '1';
2018-08-21 05:24:35 EXEC SPC_COM_MENU '1';
2018-08-21 05:24:35 EXEC SPC_COMMON_GROUP 'CAT-12';
2018-08-21 05:24:35 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:24:35 EXEC SPC_COM_MENU '1';
2018-08-21 05:24:35 EXEC SPC_VOCABULARY_LST2 'CAT-12','GRO-14','ndq809';
2018-08-21 05:24:52 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:24:52 EXEC SPC_COM_MENU '1';
2018-08-21 05:24:52 EXEC SPC_COM_EXAM_LIST '5','9','1','0','1';
2018-08-21 05:25:07 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:25:07 EXEC SPC_COM_MENU '1';
2018-08-21 05:25:07 EXEC SPC_COM_EXAM_LIST '3','7','1','0','2';
2018-08-21 05:25:08 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:25:08 EXEC SPC_COM_MENU '1';
2018-08-21 05:25:08 EXEC SPC_COM_EXAM_LIST '3','7','1','0','1';
2018-08-21 05:25:09 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:25:09 EXEC SPC_COM_MENU '1';
2018-08-21 05:25:09 EXEC SPC_COM_EXAM_LIST '3','7','1','0','2';
2018-08-21 05:25:10 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:25:10 EXEC SPC_COM_MENU '1';
2018-08-21 05:25:10 EXEC SPC_COM_EXAM_LIST '3','7','1','0','1';
2018-08-21 05:25:11 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:25:11 EXEC SPC_COM_MENU '1';
2018-08-21 05:25:11 EXEC SPC_COM_EXAM_LIST '3','7','1','0','2';
2018-08-21 05:25:12 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:25:12 EXEC SPC_COM_MENU '1';
2018-08-21 05:25:12 EXEC SPC_COM_EXAM_LIST '3','7','1','0','1';
2018-08-21 05:25:14 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:25:14 EXEC SPC_COM_MENU '1';
2018-08-21 05:25:14 EXEC SPC_COM_EXAM_LIST '3','7','1','0','2';
2018-08-21 05:25:18 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:25:18 EXEC SPC_COM_MENU '1';
2018-08-21 05:25:18 EXEC SPC_COM_EXAM_LIST '3','7','1','0','1';
2018-08-21 05:25:20 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:25:20 EXEC SPC_COM_MENU '1';
2018-08-21 05:25:20 EXEC SPC_COM_EXAM_LIST '3','7','1','0','2';
2018-08-21 05:25:21 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:25:21 EXEC SPC_COM_MENU '1';
2018-08-21 05:25:21 EXEC SPC_COM_EXAM_LIST '3','7','1','0','1';
2018-08-21 05:25:22 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:25:22 EXEC SPC_COM_MENU '1';
2018-08-21 05:25:22 EXEC SPC_COM_EXAM_LIST '3','7','1','0','2';
2018-08-21 05:25:23 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:25:23 EXEC SPC_COM_MENU '1';
2018-08-21 05:25:23 EXEC SPC_COM_EXAM_LIST '3','7','1','0','1';
2018-08-21 05:25:24 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:25:24 EXEC SPC_COM_MENU '1';
2018-08-21 05:25:24 EXEC SPC_COM_EXAM_LIST '3','7','1','0','2';
2018-08-21 05:25:24 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:25:24 EXEC SPC_COM_MENU '1';
2018-08-21 05:25:24 EXEC SPC_COM_EXAM_LIST '3','7','1','0','1';
2018-08-21 05:25:26 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:25:26 EXEC SPC_COM_MENU '1';
2018-08-21 05:25:26 EXEC SPC_COM_EXAM_LIST '3','7','1','0','2';
2018-08-21 05:26:16 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:26:16 EXEC SPC_COM_MENU '1';
2018-08-21 05:26:16 EXEC SPC_COM_EXAM_LIST '3','7','1','1','1';
2018-08-21 05:26:18 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:26:18 EXEC SPC_COM_MENU '1';
2018-08-21 05:26:18 EXEC SPC_COM_EXAM_LIST '3','7','1','2','1';
2018-08-21 05:26:21 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:26:21 EXEC SPC_COM_MENU '1';
2018-08-21 05:26:21 EXEC SPC_COM_EXAM_LIST '3','7','1','0','1';
2018-08-21 05:26:22 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:26:22 EXEC SPC_COM_MENU '1';
2018-08-21 05:26:22 EXEC SPC_COM_EXAM_LIST '3','7','1','1','1';
2018-08-21 05:26:30 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:26:30 EXEC SPC_COM_MENU '1';
2018-08-21 05:26:30 EXEC SPC_COM_EXAM_LIST '3','7','1','1','2';
2018-08-21 05:26:33 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:26:33 EXEC SPC_COM_MENU '1';
2018-08-21 05:26:33 EXEC SPC_COM_EXAM_LIST '3','7','1','2','1';
2018-08-21 05:26:44 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:26:44 EXEC SPC_COM_MENU '1';
2018-08-21 05:26:44 EXEC SPC_COM_EXAM_LIST '3','7','1','2','2';
2018-08-21 05:26:46 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:26:46 EXEC SPC_COM_MENU '1';
2018-08-21 05:26:46 EXEC SPC_COM_EXAM_LIST '3','7','1','2','1';
2018-08-21 05:26:47 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:26:47 EXEC SPC_COM_MENU '1';
2018-08-21 05:26:47 EXEC SPC_COM_EXAM_LIST '3','7','1','2','2';
2018-08-21 05:26:49 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:26:49 EXEC SPC_COM_MENU '1';
2018-08-21 05:26:49 EXEC SPC_COM_EXAM_LIST '3','7','1','2','1';
2018-08-21 05:29:33 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:29:33 EXEC SPC_COM_MENU '1';
2018-08-21 05:29:33 EXEC SPC_COM_ADD_LESSON '1','CAT-12','GRO-14','ndq809','127.0.0.1';
2018-08-21 05:30:54 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:30:54 EXEC SPC_COM_MENU '1';
2018-08-21 05:30:54 EXEC SPC_COMMON_CATALORUE '1';
2018-08-21 05:30:55 EXEC SPC_COM_MENU '1';
2018-08-21 05:30:55 EXEC SPC_COMMON_GROUP 'CAT-12';
2018-08-21 05:30:55 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:30:55 EXEC SPC_COM_MENU '1';
2018-08-21 05:30:55 EXEC SPC_VOCABULARY_LST2 'CAT-12','GRO-14','ndq809';
2018-08-21 05:31:37 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:31:37 EXEC SPC_COM_MENU '1';
2018-08-21 05:31:37 EXEC SPC_COMMON_CATALORUE '1';
2018-08-21 05:31:38 EXEC SPC_COM_MENU '1';
2018-08-21 05:31:38 EXEC SPC_COMMON_GROUP 'CAT-12';
2018-08-21 05:31:38 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:31:38 EXEC SPC_COM_MENU '1';
2018-08-21 05:31:38 EXEC SPC_VOCABULARY_LST2 'CAT-12','GRO-14','ndq809';
2018-08-21 05:34:10 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:34:10 EXEC SPC_COM_MENU '1';
2018-08-21 05:34:10 EXEC SPC_VOCABULARY_LST2 'CAT-12','GRO-7','ndq809';
2018-08-21 05:34:18 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:34:18 EXEC SPC_COM_MENU '1';
2018-08-21 05:34:18 EXEC SPC_VOCABULARY_LST2 'CAT-12','GRO-5','ndq809';
2018-08-21 05:34:20 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:34:20 EXEC SPC_COM_MENU '1';
2018-08-21 05:34:20 EXEC SPC_VOCABULARY_LST2 'CAT-12','GRO-14','ndq809';
2018-08-21 05:36:17 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:36:17 EXEC SPC_COM_MENU '1';
2018-08-21 05:36:17 EXEC SPC_COM_EXAM_LIST '3','7','1','0','2';
2018-08-21 05:36:18 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:36:18 EXEC SPC_COM_MENU '1';
2018-08-21 05:36:18 EXEC SPC_COM_EXAM_LIST '3','7','1','0','1';
2018-08-21 05:36:42 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:36:42 EXEC SPC_COM_MENU '1';
2018-08-21 05:36:42 EXEC SPC_COM_EXAM_LIST '3','7','1','0','2';
2018-08-21 05:36:43 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:36:43 EXEC SPC_COM_MENU '1';
2018-08-21 05:36:43 EXEC SPC_COM_EXAM_LIST '3','7','1','0','1';
2018-08-21 05:36:44 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:36:44 EXEC SPC_COM_MENU '1';
2018-08-21 05:36:44 EXEC SPC_COM_EXAM_LIST '3','7','1','0','2';
2018-08-21 05:39:31 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:39:31 EXEC SPC_COM_MENU '1';
2018-08-21 05:39:31 EXEC SPC_COM_ADD_EXAM '4','8','1','the king always right','Là vua thì luôn đúng','ndq809','127.0.0.1';
2018-08-21 05:39:31 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 05:39:31 EXEC SPC_COM_MENU '1';
2018-08-21 05:39:31 EXEC SPC_COM_EXAM_LIST '4','8','1','1','1';
2018-08-21 07:20:46 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 07:20:46 EXEC SPC_COM_MENU '1';
2018-08-21 07:20:46 EXEC SPC_COMMON_CATALORUE '1';
2018-08-21 07:21:12 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 07:21:12 EXEC SPC_COM_MENU '1';
2018-08-21 07:21:12 EXEC SPC_COMMON_CATALORUE '1';
2018-08-21 07:21:13 EXEC SPC_COM_MENU '1';
2018-08-21 07:21:13 EXEC SPC_COMMON_GROUP 'CAT-12';
2018-08-21 07:21:13 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 07:21:13 EXEC SPC_COM_MENU '1';
2018-08-21 07:21:13 EXEC SPC_VOCABULARY_LST2 'CAT-12','GRO-14','ndq809';
2018-08-21 07:21:28 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 07:21:28 EXEC SPC_COM_MENU '1';
2018-08-21 07:21:28 EXEC SPC_COMMON_CATALORUE '1';
2018-08-21 07:21:28 EXEC SPC_COM_MENU '1';
2018-08-21 07:21:28 EXEC SPC_COMMON_GROUP 'CAT-12';
2018-08-21 07:21:28 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 07:21:28 EXEC SPC_COM_MENU '1';
2018-08-21 07:21:28 EXEC SPC_VOCABULARY_LST2 'CAT-12','GRO-14','ndq809';
2018-08-21 07:26:06 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 07:26:06 EXEC SPC_COM_MENU '1';
2018-08-21 07:26:06 EXEC SPC_COMMON_CATALORUE '1';
2018-08-21 07:26:07 EXEC SPC_COM_MENU '1';
2018-08-21 07:26:07 EXEC SPC_COMMON_GROUP 'CAT-12';
2018-08-21 07:26:07 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 07:26:07 EXEC SPC_COM_MENU '1';
2018-08-21 07:26:07 EXEC SPC_VOCABULARY_LST2 'CAT-12','GRO-14','ndq809';
2018-08-21 07:26:10 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 07:26:10 EXEC SPC_COM_MENU '1';
2018-08-21 07:26:10 EXEC SPC_COMMON_CATALORUE '1';
2018-08-21 07:26:10 EXEC SPC_COM_MENU '1';
2018-08-21 07:26:10 EXEC SPC_COMMON_GROUP 'CAT-12';
2018-08-21 07:26:10 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 07:26:10 EXEC SPC_COM_MENU '1';
2018-08-21 07:26:10 EXEC SPC_VOCABULARY_LST2 'CAT-12','GRO-14','ndq809';
2018-08-21 07:28:14 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 07:28:14 EXEC SPC_COM_MENU '1';
2018-08-21 07:28:14 EXEC SPC_COMMON_CATALORUE '1';
2018-08-21 07:28:14 EXEC SPC_COM_MENU '1';
2018-08-21 07:28:14 EXEC SPC_COMMON_GROUP 'CAT-12';
2018-08-21 07:28:15 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 07:28:15 EXEC SPC_COM_MENU '1';
2018-08-21 07:28:15 EXEC SPC_VOCABULARY_LST2 'CAT-12','GRO-14','ndq809';
2018-08-21 08:11:01 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 08:11:01 EXEC SPC_COM_MENU '1';
2018-08-21 08:11:01 EXEC SPC_COMMON_CATALORUE '1';
2018-08-21 08:11:01 EXEC SPC_COM_MENU '1';
2018-08-21 08:11:01 EXEC SPC_COMMON_GROUP 'CAT-12';
2018-08-21 08:11:01 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 08:11:01 EXEC SPC_COM_MENU '1';
2018-08-21 08:11:01 EXEC SPC_VOCABULARY_LST2 'CAT-12','GRO-14','ndq809';
2018-08-21 08:12:54 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 08:12:54 EXEC SPC_COM_MENU '1';
2018-08-21 08:12:54 EXEC SPC_COMMON_CATALORUE '1';
2018-08-21 08:12:54 EXEC SPC_COM_MENU '1';
2018-08-21 08:12:54 EXEC SPC_COMMON_GROUP 'CAT-12';
2018-08-21 08:12:54 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 08:12:54 EXEC SPC_COM_MENU '1';
2018-08-21 08:12:54 EXEC SPC_VOCABULARY_LST2 'CAT-12','GRO-14','ndq809';
2018-08-21 08:15:11 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 08:15:11 EXEC SPC_COM_MENU '1';
2018-08-21 08:15:11 EXEC SPC_COMMON_CATALORUE '1';
2018-08-21 08:15:12 EXEC SPC_COM_MENU '1';
2018-08-21 08:15:12 EXEC SPC_COMMON_GROUP 'CAT-12';
2018-08-21 08:15:12 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 08:15:12 EXEC SPC_COM_MENU '1';
2018-08-21 08:15:12 EXEC SPC_VOCABULARY_LST2 'CAT-12','GRO-14','ndq809';
2018-08-21 08:16:02 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 08:16:02 EXEC SPC_COM_MENU '1';
2018-08-21 08:16:02 EXEC SPC_COMMON_CATALORUE '1';
2018-08-21 08:16:02 EXEC SPC_COM_MENU '1';
2018-08-21 08:16:02 EXEC SPC_COMMON_GROUP 'CAT-12';
2018-08-21 08:16:02 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 08:16:02 EXEC SPC_COM_MENU '1';
2018-08-21 08:16:02 EXEC SPC_VOCABULARY_LST2 'CAT-12','GRO-14','ndq809';
2018-08-21 08:20:16 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 08:20:16 EXEC SPC_COM_MENU '1';
2018-08-21 08:20:16 EXEC SPC_COMMON_CATALORUE '1';
2018-08-21 08:20:16 EXEC SPC_COM_MENU '1';
2018-08-21 08:20:16 EXEC SPC_COMMON_GROUP 'CAT-12';
2018-08-21 08:20:16 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 08:20:16 EXEC SPC_COM_MENU '1';
2018-08-21 08:20:16 EXEC SPC_VOCABULARY_LST2 'CAT-12','GRO-14','ndq809';
2018-08-21 08:20:24 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 08:20:24 EXEC SPC_COM_MENU '1';
2018-08-21 08:20:24 EXEC SPC_COM_EXAM_LIST '3','7','1','0','2','ndq809';
2018-08-21 08:20:26 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 08:20:26 EXEC SPC_COM_MENU '1';
2018-08-21 08:20:26 EXEC SPC_COM_EXAM_LIST '3','7','1','0','1','ndq809';
2018-08-21 08:20:28 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 08:20:28 EXEC SPC_COM_MENU '1';
2018-08-21 08:20:28 EXEC SPC_COM_EXAM_LIST '3','7','1','0','2','ndq809';
2018-08-21 08:20:29 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 08:20:29 EXEC SPC_COM_MENU '1';
2018-08-21 08:20:29 EXEC SPC_COM_EXAM_LIST '3','7','1','0','1','ndq809';
2018-08-21 08:20:30 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 08:20:30 EXEC SPC_COM_MENU '1';
2018-08-21 08:20:30 EXEC SPC_COM_EXAM_LIST '3','7','1','0','2','ndq809';
2018-08-21 08:20:30 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 08:20:30 EXEC SPC_COM_MENU '1';
2018-08-21 08:20:30 EXEC SPC_COM_EXAM_LIST '3','7','1','0','1','ndq809';
2018-08-21 08:20:31 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 08:20:31 EXEC SPC_COM_MENU '1';
2018-08-21 08:20:31 EXEC SPC_COM_EXAM_LIST '3','7','1','0','2','ndq809';
2018-08-21 08:30:46 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 08:30:46 EXEC SPC_COM_MENU '1';
2018-08-21 08:30:46 EXEC SPC_COMMON_CATALORUE '1';
2018-08-21 08:30:47 EXEC SPC_COM_MENU '1';
2018-08-21 08:30:47 EXEC SPC_COMMON_GROUP 'CAT-12';
2018-08-21 08:30:47 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 08:30:47 EXEC SPC_COM_MENU '1';
2018-08-21 08:30:47 EXEC SPC_VOCABULARY_LST2 'CAT-12','GRO-14','ndq809';
2018-08-21 08:32:40 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 08:32:40 EXEC SPC_COM_MENU '1';
2018-08-21 08:32:42 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 08:32:42 EXEC SPC_COM_MENU '1';
2018-08-21 08:32:45 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 08:32:45 EXEC SPC_COM_MENU '1';
2018-08-21 08:32:52 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 08:32:52 EXEC SPC_COM_MENU '1';
2018-08-21 08:32:54 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 08:32:54 EXEC SPC_COM_MENU '1';
2018-08-21 08:32:59 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 08:32:59 EXEC SPC_COM_MENU '1';
2018-08-21 08:33:01 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 08:33:01 EXEC SPC_COM_MENU '1';
2018-08-21 09:02:08 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 09:02:08 EXEC SPC_COM_MENU '1';
2018-08-21 09:02:08 EXEC SPC_COMMON_CATALORUE '1';
2018-08-21 09:02:09 EXEC SPC_COM_MENU '1';
2018-08-21 09:02:09 EXEC SPC_COMMON_GROUP 'CAT-12';
2018-08-21 09:02:09 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 09:02:09 EXEC SPC_COM_MENU '1';
2018-08-21 09:02:09 EXEC SPC_VOCABULARY_LST2 'CAT-12','GRO-14','ndq809';
2018-08-21 09:03:10 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 09:03:10 EXEC SPC_COM_MENU '1';
2018-08-21 09:03:10 EXEC SPC_COMMON_CATALORUE '1';
2018-08-21 09:03:11 EXEC SPC_COM_MENU '1';
2018-08-21 09:03:11 EXEC SPC_COMMON_GROUP 'CAT-12';
2018-08-21 09:03:11 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 09:03:11 EXEC SPC_COM_MENU '1';
2018-08-21 09:03:11 EXEC SPC_VOCABULARY_LST2 'CAT-12','GRO-14','ndq809';
2018-08-21 09:03:13 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 09:03:13 EXEC SPC_COM_MENU '1';
2018-08-21 09:03:13 EXEC SPC_COM_ADD_EFFECT '1','5','1','1','1','ndq809','127.0.0.1';
2018-08-21 09:03:19 EXEC SPC_COM_DATA 'ndq809';
2018-08-21 09:03:19 EXEC SPC_COM_MENU '1';
2018-08-21 09:03:19 EXEC SPC_COM_ADD_EFFECT '1','5','1','1','1','ndq809','127.0.0.1';
