2018-10-17 08:23:16 EXEC SPC_COM_PERMISSION '1','1','g001';
2018-10-17 08:23:29 EXEC SPC_COM_DATA '','','';
2018-10-17 08:23:33 EXEC SPC_COM_DATA '','','';
2018-10-17 08:23:33 EXEC SPC_VOCABULARY_LST1 '','','','';
2018-10-17 08:23:34 EXEC SPC_COM_DATA '','','';
2018-10-17 08:23:34 EXEC SPC_VOCABULARY_LST2 '2','1','';
2018-10-17 08:23:36 EXEC SPC_COM_DATA '','','';
2018-10-17 08:23:36 EXEC SPC_GRAMMAR_LST1 '','','2','1';
2018-10-17 08:23:37 EXEC SPC_COM_DATA '','','';
2018-10-17 08:23:37 EXEC SPC_GRAMMAR_LST2 '6','6','';
2018-10-17 08:23:39 EXEC SPC_COM_DATA '','','';
2018-10-17 08:23:39 EXEC SPC_WRITING_LST1 '','','6','6';
2018-10-17 08:23:40 EXEC SPC_COM_DATA '','','';
2018-10-17 08:23:40 EXEC SPC_WRITING_LST2 '9','10','';
2018-10-17 08:24:11 EXEC SPC_COM_DATA '','','';
2018-10-17 08:24:11 EXEC SPC_TRANSLATE_LST1 '2','';
2018-10-17 08:24:12 EXEC SPC_COM_DATA '','','';
2018-10-17 08:24:12 EXEC SPC_TRANSLATE_LST2 'king','','127.0.0.1';
2018-10-17 08:27:21 EXEC SPC_COM_DATA '','','';
2018-10-17 08:27:21 EXEC SPC_WRITING_LST1 '12','','9','10';
2018-10-17 08:27:22 EXEC SPC_COM_DATA '','','';
2018-10-17 08:27:22 EXEC SPC_WRITING_LST2 '9','10','';
2018-10-17 08:29:45 EXEC SPC_COM_DATA '','','';
2018-10-17 08:29:45 EXEC SPC_WRITING_LST1 '12','','9','10';
2018-10-17 08:29:45 EXEC SPC_COM_DATA '','','';
2018-10-17 08:29:45 EXEC SPC_WRITING_LST2 '9','10','';
2018-10-17 08:30:08 EXEC SPC_COM_DATA '','','';
2018-10-17 08:30:08 EXEC SPC_WRITING_LST1 '12','','9','10';
2018-10-17 08:30:09 EXEC SPC_COM_DATA '','','';
2018-10-17 08:30:09 EXEC SPC_WRITING_LST2 '9','10','';
2018-10-17 08:31:44 EXEC SPC_COM_DATA '','','';
2018-10-17 08:31:44 EXEC SPC_WRITING_LST1 '12','','9','10';
2018-10-17 08:31:44 EXEC SPC_COM_DATA '','','';
2018-10-17 08:31:44 EXEC SPC_WRITING_LST2 '9','10','';
2018-10-17 08:33:43 EXEC SPC_COM_DATA '','','';
2018-10-17 08:33:43 EXEC SPC_WRITING_LST1 '12','','9','10';
2018-10-17 08:33:44 EXEC SPC_COM_DATA '','','';
2018-10-17 08:33:44 EXEC SPC_WRITING_LST2 '9','10','';
2018-10-17 08:40:44 EXEC SPC_COM_DATA '','','';
2018-10-17 08:40:44 EXEC SPC_WRITING_LST1 '12','','9','10';
2018-10-17 08:40:45 EXEC SPC_COM_DATA '','','';
2018-10-17 08:40:45 EXEC SPC_WRITING_LST2 '9','10','';
2018-10-17 08:42:02 EXEC SPC_COM_DATA '','','';
2018-10-17 08:42:02 EXEC SPC_WRITING_LST1 '12','','9','10';
2018-10-17 08:42:02 EXEC SPC_COM_DATA '','','';
2018-10-17 08:42:03 EXEC SPC_WRITING_LST2 '9','10','';
2018-10-17 08:42:43 EXEC SPC_COM_DATA '','','';
2018-10-17 08:42:43 EXEC SPC_WRITING_LST1 '12','','9','10';
2018-10-17 08:42:44 EXEC SPC_COM_DATA '','','';
2018-10-17 08:42:44 EXEC SPC_WRITING_LST2 '9','10','';
2018-10-17 08:43:01 EXEC SPC_COM_DATA '','','';
2018-10-17 08:43:01 EXEC SPC_WRITING_LST1 '12','','9','10';
2018-10-17 08:43:02 EXEC SPC_COM_DATA '','','';
2018-10-17 08:43:02 EXEC SPC_WRITING_LST2 '9','10','';
2018-10-17 08:43:27 EXEC SPC_COM_DATA '','','';
2018-10-17 08:43:27 EXEC SPC_WRITING_LST1 '12','','9','10';
2018-10-17 08:43:27 EXEC SPC_COM_DATA '','','';
2018-10-17 08:43:28 EXEC SPC_WRITING_LST2 '9','10','';
2018-10-17 08:46:38 EXEC SPC_COM_DATA '','','';
2018-10-17 08:46:38 EXEC SPC_WRITING_LST1 '12','','9','10';
2018-10-17 08:46:39 EXEC SPC_COM_DATA '','','';
2018-10-17 08:46:39 EXEC SPC_WRITING_LST2 '9','10','';
2018-10-17 08:46:47 EXEC SPC_COM_DATA '','','';
2018-10-17 08:46:47 EXEC SPC_WRITING_LST1 '12','','9','10';
2018-10-17 08:46:48 EXEC SPC_COM_DATA '','','';
2018-10-17 08:46:48 EXEC SPC_WRITING_LST2 '9','10','';
2018-10-17 08:48:37 EXEC SPC_COM_DATA '','','';
2018-10-17 08:48:37 EXEC SPC_WRITING_LST1 '12','','9','10';
2018-10-17 08:48:38 EXEC SPC_COM_DATA '','','';
2018-10-17 08:48:38 EXEC SPC_WRITING_LST2 '9','10','';
2018-10-17 08:49:16 EXEC SPC_COM_DATA '','','';
