2019-06-13 09:48:41 EXEC SPC_COMMON_ACCOUNT '1','2';
2019-06-13 09:48:41 EXEC SPC_COM_DATA '1','1','2';
2019-06-13 09:48:42 EXEC SPC_COM_MENU '1';
2019-06-13 09:48:44 EXEC SPC_COM_PERMISSION '1','2','g001';
2019-06-13 09:48:45 EXEC SPC_COM_MENU '1';
2019-06-13 09:48:45 EXEC SPC_G001_LST1 '1','1';
2019-06-13 09:48:52 EXEC SPC_COM_PERMISSION '1','2','v001';
2019-06-13 09:48:52 EXEC SPC_COM_MENU '1';
2019-06-13 09:48:52 EXEC SPC_V001_LST1
2019-06-13 09:48:55 EXEC SPC_COM_PERMISSION '1','2','v003';
2019-06-13 09:48:55 EXEC SPC_COM_MENU '1';
2019-06-13 09:48:55 EXEC SPC_COM_PERMISSION '1','2','v003';
2019-06-13 09:48:55 EXEC SPC_COM_MENU '1';
2019-06-13 09:49:03 EXEC SPC_COM_MENU '1';
2019-06-13 09:49:39 EXEC SPC_COM_MENU '1';
2019-06-13 09:52:56 EXEC SPC_COM_PERMISSION '1','2','v003';
2019-06-13 09:52:56 EXEC SPC_COM_MENU '1';
2019-06-13 09:52:57 EXEC SPC_COM_PERMISSION '1','2','v003';
2019-06-13 09:52:57 EXEC SPC_COM_MENU '1';
2019-06-13 09:53:00 EXEC SPC_COM_MENU '1';
2019-06-13 09:53:25 EXEC SPC_COM_PERMISSION '1','2','v003';
2019-06-13 09:53:25 EXEC SPC_COM_MENU '1';
2019-06-13 09:53:26 EXEC SPC_COM_PERMISSION '1','2','v003';
2019-06-13 09:53:26 EXEC SPC_COM_MENU '1';
2019-06-13 09:53:33 EXEC SPC_COM_MENU '1';
2019-06-13 09:53:45 EXEC SPC_COM_MENU '1';
2019-06-13 09:54:17 EXEC SPC_COM_PERMISSION '1','2','v003';
2019-06-13 09:54:17 EXEC SPC_COM_MENU '1';
2019-06-13 09:54:17 EXEC SPC_COM_PERMISSION '1','2','v003';
2019-06-13 09:54:17 EXEC SPC_COM_MENU '1';
2019-06-13 09:54:19 EXEC SPC_COM_MENU '1';
2019-06-13 09:54:22 EXEC SPC_COM_MENU '1';
2019-06-13 09:54:53 EXEC SPC_COM_PERMISSION '1','2','v003';
2019-06-13 09:54:53 EXEC SPC_COM_MENU '1';
2019-06-13 09:54:54 EXEC SPC_COM_PERMISSION '1','2','v003';
2019-06-13 09:54:54 EXEC SPC_COM_MENU '1';
2019-06-13 09:54:56 EXEC SPC_COM_MENU '1';
2019-06-13 09:55:12 EXEC SPC_COM_MENU '1';
2019-06-13 09:57:45 EXEC SPC_COM_PERMISSION '1','2','v003';
2019-06-13 09:57:45 EXEC SPC_COM_MENU '1';
2019-06-13 09:57:46 EXEC SPC_COM_PERMISSION '1','2','v003';
2019-06-13 09:57:46 EXEC SPC_COM_MENU '1';
2019-06-13 09:57:48 EXEC SPC_COM_MENU '1';
2019-06-13 09:57:57 EXEC SPC_COM_MENU '1';
2019-06-13 10:11:12 EXEC SPC_COM_PERMISSION '1','2','v003';
